b,k,error
0.0,0.0,92.34182926829268
0.1215365853658537,0.9012756097560977,28.311108177355724
0.1891881375371803,1.395379091564545,9.05580072754679
0.22728824876208534,1.6662001624821747,3.2651030690192875
0.24918083970599397,1.8145792083079175,1.5234080159536545
0.26218337806245184,1.8958144997358117,0.9993076217485628
0.27030857985824186,1.940230184047287,0.8413569557752927
0.2757569203772863,1.9644552422197907,0.7935143251166632
0.2797350887257422,1.9776085786215643,0.7787843183578169
0.28290480724391726,1.9846907649613716,0.7740133054225145
0.2856289525166623,1.9884439853480202,0.7722386510845151
0.2881065217989626,1.9903719822755872,0.7713665842025372
0.2904466451289655,1.991299368742585,0.7707674708335311
0.2927091716653043,1.991678340618279,0.7702519640921927
0.2949269261895928,1.9917568698078765,0.7697631177490929
0.29711791399941223,1.991670937054079,0.7692838003796729
0.29929201375742853,1.9914951100308593,0.768808853472609
0.301454647677563,1.991270279067922,0.7683367189740783
0.303608794160623,1.991018866707922,0.7678669215702658
0.30575609147189037,1.9907531682360597,0.7673993115735096
0.3078974429695227,1.9904799254117758,0.7669338372471822
0.3100333489962515,1.9902028345854554,0.7664704763403866
0.3121640888802707,1.9899239220850535,0.7660092154993133
0.3142898207398634,1.9896442984427056,0.7655500440758128
0.3164106362137154,1.9893645719931794,0.7650929522653999
0.31852659047363535,1.9890850756806153,0.7646379305471923
0.32063771868278307,1.9888059914334992,0.7641849695153563
0.32274404502096343,1.988527418368693,0.7637340598282885
0.32484558763389065,1.988249410192764,0.7632851921931909
0.3269423613472624,1.9879719957119095,0.76283835736131
0.3290343791551133,1.9876951900790678,0.7623935461263646
0.3311216530360147,1.9874190009615396,0.7619507493239424
0.33320419440068266,1.9871434319231511,0.7615099578311896
0.3352820143374595,1.986868484278941,0.7610711625665809
0.33735512374695464,1.98659415811222,0.7606343544897246
0.3394235334159027,1.9863204528322964,0.7601995246011722
0.3414872540576904,1.9860473674803167,0.7597666639422318
0.34354629633460526,1.9857749008969754,0.7593357635947836
0.34560067087006036,1.98550305181448,0.7589068146810939
0.3476503882553233,1.9852318189069806,0.7584798083636364
0.3496954590532304,1.9849612008182187,0.7580547358449048
0.35173589380024806,1.984691196176687,0.7576315883672369
0.35377170300762745,1.98442180360394,0.7572103572126303
0.35580289716206237,1.9841530217191463,0.7567910337025648
0.35782948672607406,1.9838848491415835,0.7563736091978226
0.35985148213824664,1.9836172844920021,0.7559580750983098
0.36186889381338033,1.983350326393371,0.7555444228428819
0.3638817321425998,1.9830839734712817,0.7551326439091641
0.3658900074934374,1.9828182243541694,0.7547227298133774
0.3678937302099033,1.9825530776734275,0.7543146721101645
0.36989291061254737,1.9822885320634704,0.753908462392413
0.3718875589985176,1.9820245861617631,0.7535040922910863
0.3738776856416157,1.9817612386088346,0.7531015534750476
0.3758633007923516,1.981498488048282,0.7527008376508894
0.3778444146779968,1.9812363331267702,0.7523019365627653
0.37982103750263774,1.9809747724940274,0.7519048419922135
0.3817931794472287,1.9807138048028416,0.7515095457579943
0.383760850669644,1.9804534287090525,0.7511160397159182
0.38572406130473075,1.9801936428715465,0.7507243157586777
0.38768282146436084,1.9799344459522505,0.7503343658156804
0.3896371412374833,1.979675836616124,0.7499461818528876
0.3915870306901759,1.9794178135311529,0.7495597558726408
0.39353249986569755,1.9791603753683424,0.7491750799135009
0.3954735587845394,1.978903520801711,0.7487921460500847
0.3974102174444769,1.9786472485082824,0.7484109463929037
0.3993424858206213,1.97839155716808,0.748031473088194
0.4012703738654707,1.978136445464119,0.7476537183177624
0.4031938915089616,1.9778819120824007,0.7472776742988206
0.40511304865852,1.9776279557119048,0.7469033332838281
0.4070278551991123,1.9773745750445828,0.7465306875603309
0.40893832099329624,1.977121768775352,0.7461597294508011
0.410844455881272,1.9768695356020878,0.7457904513124812
0.4127462696809324,1.9766178742256175,0.7454228455372263
0.4146437721879138,1.9763667833497134,0.7450569045513455
0.41653697317564653,1.9761162616810868,0.7446926208154476
0.41842588239540507,1.9758663079293806,0.744329986824287
0.42031050957635846,1.9756169208071623,0.7439689951066046
0.4221908644256202,1.9753680990299187,0.7436096382249793
0.4240669566282985,1.9751198413160482,0.7432519087756689
0.42593879584754596,1.9748721463868542,0.7428957993884641
0.42780639172460944,1.9746250129665393,0.7425413027265312
0.42966975387887973,1.974378439782198,0.742188411486264
0.431528891907941,1.9741324255638104,0.7418371183971323
0.4333838153876204,1.973886969044236,0.7414874162215324
0.43523453387203714,1.9736420689592062,0.7411392977546366
0.43708105689365195,1.973397724047319,0.7407927558242479
0.43892339396331603,1.9731539330500318,0.7404477832906479
0.44076155457032007,1.9729106947116546,0.7401043730464552
0.4425955481824431,1.9726680077793444,0.7397625180164733
0.4444253842460014,1.9724258710030982,0.7394222111575477
0.44625107218589694,1.9721842831357468,0.7390834454584209
0.448072621405666,1.971943242932948,0.7387462139395881
0.4498900412875278,1.971702749153181,0.7384105096531521
0.4517033411924325,1.9714628005577384,0.7380763256826818
0.4535125304601096,1.9712233959107217,0.7377436551430675
0.45531761840911605,1.9709845339790342,0.7374124911803808
0.4571186143368843,1.970746213532374,0.7370828269717334
0.4589155275197699,1.9705084333432283,0.7367546557251362
0.4607083672130996,1.9702711921868676,0.7364279706793577
0.462497142651219,1.9700344888413384,0.7361027651037869
0.4642818630475398,1.9697983220874569,0.7357790322982961
